"OTU_ID","Season","Year","Random: sample","Random: pcr","Genus","guild"
"OTU483",0.0344,0.0199,0.6985,0.2472,NA,"plant_associated"
"OTU502",0.0332,0.0349,0.5294,0.4025,"Parmelia","other"
"OTU509",0.0642,0.2033,0.4202,0.3123,"Teunia","plant_associated"
"OTU519",0.0796,0.1231,0.4699,0.3274,"Yunzhangia","other"
"OTU523",0.0752,0.107,0.3716,0.4462,NA,"plant_associated"
"OTU527",0.0759,0.1073,0.6078,0.2091,"Piskurozyma","other"
"OTU537",0.2581,0.1476,0.3936,0.2008,NA,"pathotroph"
"OTU538",0.0433,0.0587,0.5671,0.3309,"Piskurozyma","other"
"OTU542",0.0177,0.0358,0.6325,0.3141,"Exobasidium","plant_associated"
"OTU549",0.0296,0.0404,0.5847,0.3452,NA,"dark_unassigned"
"OTU552",0.0157,0.0211,0.5555,0.4077,NA,"dark_unassigned"
"OTU554",0.076,0.0502,0.5146,0.3591,"Exobasidium","plant_associated"
"OTU564",0.1364,0.1346,0.4667,0.2623,NA,"dark_unassigned"
"OTU573",0.0154,0.0179,0.6046,0.3621,"Exobasidium","plant_associated"
"OTU589",0.0066,0.0063,0.6428,0.3443,NA,"dark_unassigned"
"OTU591",0.0325,0.0439,0.6876,0.236,NA,"pathotroph"
"OTU594",0.3084,0.1384,0.3695,0.1836,"Taphrina","plant_associated"
"OTU604",0.3107,0.1097,0.3445,0.2351,NA,"dark_unassigned"
"OTU618",0.0878,0.0655,0.6569,0.1898,"Piskurozyma","other"
"OTU624",0.1082,0.1062,0.3843,0.4014,"Parasola","other"
"OTU626",0.0748,0.0679,0.6122,0.2451,"Piskurozyma","other"
"OTU628",0.0741,0.1189,0.42,0.3869,"Frutidella","other"
"OTU632",0.0794,0.1026,0.4583,0.3597,"Parmeliopsis","other"
"OTU636",0.1865,0.115,0.5228,0.1757,"Sporormiella","dung_saprotroph"
"OTU637",0.3006,0.0939,0.2895,0.316,NA,"dark_unassigned"
"OTU638",0.0872,0.1027,0.4437,0.3664,"Vishniacozyma","other"
"OTU640",0.0699,0.0777,0.3961,0.4563,NA,"dark_unassigned"
"OTU651",0.0792,0.0418,0.6442,0.2348,NA,"dark_unassigned"
"OTU653",0.0116,0.0196,0.3246,0.6442,"Ceratobasidium","plant_associated"
"OTU661",0.0888,0.0595,0.6323,0.2194,"Piskurozyma","other"
"OTU672",0.0475,0.0393,0.4855,0.4277,NA,"dark_unassigned"
"OTU676",0.0617,0.0662,0.645,0.2271,"Piskurozyma","other"
"OTU683",0.0558,0.0985,0.6021,0.2437,"Colacogloea","pathotroph"
"OTU691",0.3506,0.0762,0.2635,0.3097,NA,"dark_unassigned"
"OTU715",0.33,0.089,0.2853,0.2956,NA,"dark_unassigned"
"OTU718",0.0528,0.0965,0.626,0.2247,"Saccothecium","other"
"OTU733",0.3443,0.087,0.2791,0.2896,"Psilolechiaceae_gen_Incertae_sedis","pathotroph"
"OTU749",0.0713,0.0693,0.6319,0.2275,"Piskurozyma","other"
"OTU758",0.0216,0.0149,0.6905,0.273,"Meristemomyces","plant_associated"
"OTU776",0.0705,0.0587,0.5477,0.3232,"Piskurozyma","other"
"OTU788",0.2924,0.1072,0.2886,0.3118,NA,"dark_unassigned"
"OTU807",0.0081,0.0089,0.5492,0.4338,NA,"dark_unassigned"
"OTU827",0.3026,0.1055,0.3212,0.2706,NA,"dark_unassigned"
"OTU829",0.0539,0.0843,0.3593,0.5025,NA,"other"
"OTU846",0.0717,0.0457,0.622,0.2606,"Pseudohyphozyma","other"
"OTU874",0.1279,0.0884,0.5341,0.2495,NA,"dark_unassigned"
"OTU911",0.3341,0.0954,0.2938,0.2766,NA,"dark_unassigned"
"OTU1024",0.0693,0.0807,0.5858,0.2643,NA,"dark_unassigned"
"OTU1026",0.0112,0.0164,0.7463,0.2261,NA,"dark_unassigned"
"OTU1046",0.0813,0.0723,0.4716,0.3747,NA,"dark_unassigned"
"OTU1063",0.0167,0.0205,0.58,0.3827,"Platismatia","other"
"OTU1066",0.0653,0.054,0.4502,0.4305,NA,"dark_unassigned"
"OTU1153",0.0749,0.1231,0.5774,0.2246,"Piskurozyma","other"
"OTU1183",0.1607,0.083,0.5424,0.2139,"Phenoliferia","other"
"OTU1206",0.1167,0.2046,0.327,0.3517,"Sporormiella","dung_saprotroph"
