"OTU_ID","Genus","guild","beta_season_mean","beta_season_support","beta_season_CrI2.5","beta_season_CrI97.5"
"OTU628","Frutidella","other",0.054,0.579,-0.46,0.57
"OTU153",NA,"dark_unassigned",0.053,0.584,-0.397,0.512
"OTU1237",NA,"dark_unassigned",0.047,0.586,-0.348,0.449
"OTU478",NA,"dark_unassigned",0.046,0.639,-0.149,0.289
"OTU519","Yunzhangia","other",0.046,0.615,-0.255,0.352
"OTU1216","Ceratobasidium","plant_associated",0.045,0.555,-0.461,0.579
"OTU676","Piskurozyma","other",0.045,0.508,-0.519,0.729
"OTU121",NA,"dark_unassigned",0.044,0.54,-0.523,0.66
"OTU90",NA,"plant_associated",0.044,0.573,-0.326,0.453
"OTU420",NA,"other",0.042,0.576,-0.388,0.466
"OTU653","Ceratobasidium","plant_associated",0.04,0.544,-0.429,0.564
"OTU1261",NA,"dark_unassigned",0.032,0.499,-0.37,0.55
"OTU718","Saccothecium","other",0.03,0.516,-0.261,0.402
"OTU300","Phaeotremella","pathotroph",0.029,0.555,-0.392,0.444
"OTU150",NA,"dark_unassigned",0.022,0.52,-0.335,0.425
"OTU305","Sistotrema","plant_associated",0.021,0.553,-0.233,0.288
"OTU383",NA,"dark_unassigned",0.021,0.521,-0.301,0.39
"OTU683","Colacogloea","pathotroph",0.021,0.481,-0.306,0.444
"OTU1273","Piskurozyma","other",0.018,0.514,-0.483,0.548
"OTU1317",NA,"dark_unassigned",0.017,0.535,-0.494,0.525
"OTU1360","Filobasidiales_gen_Incertae_sedis","other",0.017,0.494,-0.399,0.503
"OTU431",NA,"plant_associated",0.013,0.522,-0.359,0.406
"OTU1271","Aureobasidium","plant_associated",0.005,0.518,-0.629,0.579
"OTU807",NA,"dark_unassigned",0.005,0.503,-0.299,0.324
"OTU661","Piskurozyma","other",-0.001,0.312,-0.619,1.064
"OTU509","Teunia","plant_associated",-0.014,0.496,-0.399,0.351
"OTU549",NA,"dark_unassigned",-0.019,0.455,-0.289,0.227
"OTU1322","Heterocephalacria","pathotroph",-0.031,0.444,-0.427,0.375
